agent_name,step,action_type,score,money,bonds,delivered_goods_count,completed_routes_count,urbanized_city_count
urbanization_aware_lookahead_greedy,1,build_track_segments,0,0,1,0,1,8
urbanization_aware_lookahead_greedy,2,build_track_segments,0,0,2,0,2,8
urbanization_aware_lookahead_greedy,3,build_track_segments,0,2,5,0,3,8
urbanization_aware_lookahead_greedy,4,build_track_segments,0,3,7,0,4,8
urbanization_aware_lookahead_greedy,5,build_track_segments,0,3,8,0,5,8
urbanization_aware_lookahead_greedy,6,upgrade_engine,0,4,11,0,5,8
urbanization_aware_lookahead_greedy,7,build_track_segments,0,0,11,0,6,8
urbanization_aware_lookahead_greedy,8,build_track_segments,0,4,13,0,7,8
urbanization_aware_lookahead_greedy,9,build_track_segments,0,4,18,0,8,8
urbanization_aware_lookahead_greedy,10,urbanize,0,4,20,0,8,9
urbanization_aware_lookahead_greedy,11,deliver_good,2,4,20,1,8,9
urbanization_aware_lookahead_greedy,12,build_track_segments,2,0,24,1,9,9
urbanization_aware_lookahead_greedy,13,urbanize,2,0,26,1,9,10
urbanization_aware_lookahead_greedy,14,deliver_good,4,0,26,2,9,10
urbanization_aware_lookahead_greedy,15,deliver_good,6,0,30,3,9,10
urbanization_aware_lookahead_greedy,16,deliver_good,8,0,30,4,9,10
urbanization_aware_lookahead_greedy,17,deliver_good,10,0,30,5,9,10
urbanization_aware_lookahead_greedy,18,upgrade_engine,10,3,37,5,9,10
urbanization_aware_lookahead_greedy,19,upgrade_engine,10,3,40,5,9,10
urbanization_aware_lookahead_greedy,20,build_track_segments,10,2,41,5,10,10
urbanization_aware_lookahead_greedy,21,deliver_good,14,0,46,6,10,10
urbanization_aware_lookahead_greedy,22,deliver_good,18,0,46,7,10,10
urbanization_aware_lookahead_greedy,23,deliver_good,22,0,46,8,10,10
urbanization_aware_lookahead_greedy,24,deliver_good,26,0,50,9,10,10
urbanization_aware_lookahead_greedy,25,deliver_good,30,0,50,10,10,10
urbanization_aware_lookahead_greedy,26,deliver_good,34,0,50,11,10,10
urbanization_aware_lookahead_greedy,27,deliver_good,38,3,53,12,10,10
urbanization_aware_lookahead_greedy,28,deliver_good,41,3,53,13,10,10
urbanization_aware_lookahead_greedy,29,deliver_good,44,3,53,14,10,10
urbanization_aware_lookahead_greedy,30,build_track_segments,44,3,57,14,11,10
urbanization_aware_lookahead_greedy,31,deliver_good,47,3,57,15,11,10
urbanization_aware_lookahead_greedy,32,build_track_segments,47,1,58,15,12,10
urbanization_aware_lookahead_greedy,33,build_track_segments,47,0,62,15,13,10
urbanization_aware_lookahead_greedy,34,build_track_segments,47,2,64,15,14,10
urbanization_aware_lookahead_greedy,35,build_track_segments,47,3,66,15,15,10
urbanization_aware_lookahead_greedy,36,upgrade_engine,47,0,74,15,15,10
urbanization_aware_lookahead_greedy,37,upgrade_engine,47,0,79,15,15,10
urbanization_aware_lookahead_greedy,38,deliver_good,53,0,79,16,15,10
urbanization_aware_lookahead_greedy,39,deliver_good,59,0,83,17,15,10
